x,y,Cell Type
2484.55586,2150.53916,b cell
1939.56138,543.1073799999999,b cell
3224.67648,2554.00114,b cell
1722.54488,254.00366,b cell
2299.99748,1889.36452,b cell
3165.79896,2205.26506,b cell
2634.3916,2992.18576,b cell
2791.39832,2571.73988,b cell
2650.24324,2660.811,b cell
2055.42932,421.95556,b cell
1909.36778,539.33318,b cell
1777.6482,500.45892,b cell
2173.56178,212.86488,b cell
2144.12302,286.46178,b cell
2152.80368,1616.48986,b cell
2457.38162,1165.09554,b cell
2758.9402,2967.27604,b cell
2429.07512,1902.1968,dendritic cell
1466.2767,1931.63556,dendritic cell
2310.94266,420.44588,dendritic cell
2658.9239,2749.5047,dendritic cell
2171.29726,891.4660399999999,dendritic cell
2394.35248,917.88544,dendritic cell
2378.12342,923.92416,dendritic cell
2042.59704,1294.5506,dendritic cell
2045.99382,2920.47596,dendritic cell
1799.16114,523.10412,dendritic cell
1616.11244,3156.74088,dendritic cell
2372.46212,1858.7935,dendritic cell
2474.36552,2395.48474,dendritic cell
2049.01318,1203.9698,dendritic cell
2490.59458,2448.70096,dendritic cell
2647.6013,3042.76004,dendritic cell
2369.82018,1851.99994,dendritic cell
2718.93368,3080.87946,dendritic cell
2612.87866,2889.1501,dendritic cell
2697.42074,3364.6993,dendritic cell
2612.87866,2602.3109,dendritic cell
1950.88398,728.4205999999999,dendritic cell
2286.41036,1851.2451,dendritic cell
2721.95304,3085.03108,dendritic cell
1942.20332,900.5241199999999,dendritic cell
2149.78432,1603.2801599999998,dendritic cell
2476.25262,1621.77374,dendritic cell
2451.3429,2016.93248,dendritic cell
139.26798,712.56896,dendritic cell
1619.1318,3153.72152,dendritic cell
2506.82364,1437.21536,dendritic cell
2085.2455,316.27796,dendritic cell
1783.3094999999998,509.89442,dendritic cell
1938.42912,621.98816,dendritic cell
2547.20758,2767.62086,dendritic cell
2270.55872,485.73954,dendritic cell
2495.12362,2468.3268,dendritic cell
2060.7132,1046.20824,dendritic cell
1924.842,423.08782,dendritic cell
2880.84686,3071.06654,dendritic cell
2683.83362,3278.64754,dendritic cell
2623.44642,3118.99888,dendritic cell
1785.5740199999998,514.42346,dendritic cell
2432.09448,1965.60336,dendritic cell
2414.35574,1791.9901599999998,dendritic cell
250.9843,1660.27058,dendritic cell
2761.20472,1829.35474,dendritic cell
1717.63842,310.99408,dendritic cell
2932.5534,3198.25708,dendritic cell
1016.76948,201.16486,dendritic cell
2416.99768,949.96614,dendritic cell
2119.96814,1454.19926,dendritic cell
1998.4389,1085.83734,dendritic cell
2538.90434,2021.46152,dendritic cell
2039.9551,2921.98564,dendritic cell
2860.08876,2084.86808,dendritic cell
2557.77534,2826.12096,dendritic cell
25.66456,2257.34902,dendritic cell
2268.67162,1752.36106,dendritic cell
2160.35208,1886.34516,dendritic cell
