,organ,organ_id,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count
0,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_colonocyte,Colonocyte,1.205,0.1476534738389903,3
1,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_iga-plasma-cell,IgA plasma cell,1.182,0.144835191765715,3
2,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_best4-epithelial,BEST4+ epithelial,0.6990000000000001,0.085651268226933,3
3,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_activated-cd4-t,Activated CD4 T,0.6900000000000001,0.08454846219826005,3
4,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_ta,TA,0.54,0.06616836172037743,3
5,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_memory-b,Memory B,0.425,0.05207695135400075,3
6,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_trgv2-gdt,TRGV2 gdT,0.294,0.03602499693664993,3
7,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_activated-cd8-t,Activated CD8 T,0.252,0.0308785688028428,3
8,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_transitional-stromal-3-c3-,Transitional Stromal 3 (C3+),0.241,0.02953069476779807,3
9,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_tfh,Tfh,0.176,0.02156598456071561,3
10,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_macrophages,Macrophages,0.161,0.01972797451292734,3
11,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_best2-goblet-cell,BEST2+ Goblet cell,0.154,0.01887023649062615,3
12,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_trgv4-gdt,TRGV4 gdT,0.145,0.0177674304619532,3
13,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_cd8-tmem,CD8 Tmem,0.135,0.01654209043009436,3
14,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_goblet-cell,Goblet cell,0.135,0.01654209043009436,3
15,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_naive-b,Naive B,0.126,0.0154392844014214,3
16,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_treg,Treg,0.113,0.01384634236000491,3
17,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_sell-cd4-t,SELL+ CD4 T,0.102,0.01249846832496018,3
18,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_sell-cd8-t,SELL+ CD8 T,0.097,0.01188579830903076,3
19,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_mast-cell,Mast cell,0.089,0.01090552628354369,3
20,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_stromal-2-npy-,Stromal 2 (NPY+),0.08499999999999999,0.01041539027080015,3
21,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_th17,Th17,0.076,0.009312584242127192,3
22,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_cycling-b-cell,Cycling B cell,0.07200000000000001,0.008822448229383658,3
23,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_tuft,Tuft,0.062,0.007597108197524815,3
24,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_lyve1-macrophage,LYVE1+ Macrophage,0.06,0.007352040191153047,3
25,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_cycling-plasma-cell,Cycling plasma cell,0.05500000000000001,0.006739370175223627,3
26,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_monocytes,Monocytes,0.048,0.005881632152922438,3
27,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_stem-cells,Stem cells,0.043,0.005268962136993017,3
28,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_adult-glia,Adult Glia,0.035,0.004288690111505945,3
29,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_activated-t,Activated T,0.033,0.004043622105134176,3
30,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_proximal-progenitor,Proximal progenitor,0.032,0.003921088101948291,3
31,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_gdt,gdT,0.032,0.003921088101948291,3
32,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_contractile-pericyte-pln-,Contractile pericyte (PLN+),0.03,0.003676020095576523,3
33,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_ilc3,ILC3,0.029,0.00355348609239064,3
34,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_trgv5-7-gdt,TRGV5/7 gdT,0.029,0.00355348609239064,3
35,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_arterial-capillary,arterial capillary,0.028,0.003430952089204756,3
36,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_microfold-cell,Microfold cell,0.026,0.003185884082832987,3
37,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_ec-cells-tac1-,EC cells (TAC1+),0.024,0.002940816076461219,3
38,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_neuroblast,Neuroblast,0.022,0.00269574807008945,3
39,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_lti-like-ncr-ilc3,LTi-like NCR- ILC3,0.021,0.002573214066903567,3
40,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_stromal-3-kcnn3-,Stromal 3 (KCNN3+),0.02,0.002450680063717682,3
41,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_mature-venous-ec,Mature venous EC,0.016,0.001960544050974146,3
42,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_lec6-adamts4-,LEC6 (ADAMTS4+),0.015,0.001838010047788262,3
43,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_l-cells-pyy-,L cells (PYY+),0.015,0.001838010047788262,3
44,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_nk-cell,NK cell,0.015,0.001838010047788262,3
45,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,http://purl.obolibrary.org/obo/UBERON_0001052,rectum,Female,celltypist,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_stat1-naive-b,STAT1+ Naive B,0.012,0.00147040803823061,3
