index,as_label,cell_type,cell_id,organ_percentage,x,y,z,hex_color,marker_shape
0,renal papilla,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0606869,0.270119,-0.110151,#51E1E9,sphere
1,renal papilla,Medullary Fibroblast,CL:4030022,3.5311,-0.0598202,0.271522,-0.109506,#9192BA,sphere
2,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0560162,0.251034,-0.105417,#9192BA,sphere
3,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0676954,0.272654,-0.124578,#9192BA,sphere
4,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0905565,0.221343,-0.0986735,#9192BA,sphere
5,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0754925,0.24566,-0.105416,#9192BA,sphere
6,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0781864,0.270827,-0.116994,#9192BA,sphere
7,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0642899,0.251352,-0.093592,#9192BA,sphere
8,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0733458,0.247549,-0.117556,#9192BA,sphere
9,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0852871,0.251693,-0.116617,#9192BA,sphere
10,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0664547,0.250114,-0.0970587,#9192BA,sphere
11,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0837279,0.243296,-0.109306,#9192BA,sphere
12,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0918539,0.246856,-0.0878344,#9192BA,sphere
13,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0828794,0.262599,-0.105337,#9192BA,sphere
14,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0804591,0.242404,-0.0846812,#9192BA,sphere
15,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0637633,0.235717,-0.0951799,#9192BA,sphere
16,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0610486,0.264883,-0.0900868,#9192BA,sphere
17,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0612379,0.260932,-0.0995245,#9192BA,sphere
18,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0753164,0.25169,-0.105452,#9192BA,sphere
19,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0679264,0.259412,-0.0849812,#9192BA,sphere
20,renal column,Proximal Tubule Epithelial Segment 1,CL:4030009,2.4636,-0.0902112,0.242817,-0.11206,#9192BA,sphere
21,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0734158,0.259365,-0.10549,#75D68A,sphere
22,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0805625,0.269351,-0.103523,#75D68A,sphere
23,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0718177,0.24716,-0.107534,#75D68A,sphere
24,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0776562,0.228985,-0.0808715,#75D68A,sphere
25,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0445391,0.265709,-0.0986326,#75D68A,sphere
26,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0809935,0.270553,-0.113865,#75D68A,sphere
27,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.050888,0.270498,-0.116411,#75D68A,sphere
28,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.064944,0.248295,-0.106023,#75D68A,sphere
29,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0902851,0.229843,-0.0786337,#75D68A,sphere
30,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0684851,0.232653,-0.0808002,#75D68A,sphere
31,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0797788,0.256328,-0.114306,#75D68A,sphere
32,renal column,Descending Thin Limb Type 1,CL:4030012,9.9261,-0.0950571,0.234594,-0.0825116,#75D68A,sphere
33,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0909317,0.209191,-0.0879641,#51E1E9,sphere
34,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0917148,0.223768,-0.0955527,#51E1E9,sphere
35,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.062215,0.247917,-0.105142,#51E1E9,sphere
36,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0798085,0.267731,-0.108941,#51E1E9,sphere
37,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0585916,0.271055,-0.10105,#51E1E9,sphere
38,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.078203,0.269248,-0.123456,#51E1E9,sphere
39,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0739939,0.243607,-0.0764451,#51E1E9,sphere
40,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0906045,0.243141,-0.114048,#51E1E9,sphere
41,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0708019,0.228698,-0.0842628,#51E1E9,sphere
42,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0838564,0.223624,-0.103894,#51E1E9,sphere
43,renal column,Inner Medullary Collecting Duct,CL:1000718,16.28,-0.0710365,0.261901,-0.0940476,#51E1E9,sphere
44,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.0688422,0.256558,-0.0894492,#8B68EB,sphere
45,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.0745775,0.262827,-0.11829,#8B68EB,sphere
46,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.0921885,0.222615,-0.102401,#8B68EB,sphere
47,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.064571,0.276653,-0.112171,#8B68EB,sphere
48,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.094897,0.239097,-0.0964339,#8B68EB,sphere
49,renal column,Ascending Thin Limb,CL:1001107,4.6397,-0.0797453,0.244522,-0.101877,#8B68EB,sphere
