x,y,Cell Type
3155,2718,DP cells
2917,2857,WGA+ cells
2310,92,Class II+ DP cells
3427,1750,DP cells
588,1609,PD-L1+ CD3+ DP cells 
488,2804,DP cells
2965,60,SP cells
459,2315,DP cells
4194,2710,DP cells
3953,3051,ETPs
173,3411,SP cells
492,2822,DP cells
4183,938,DP cells
3666,1706,JAG1+ macrophages 
636,251,CD45RA+ SP cells
417,942,Macrophages
1139,975,DP cells
3328,473,ETPs (proliferating)
4180,2596,VCAM+ DP cells
4510,3222,Class II+ DP cells
4317,1564,Macrophages
2052,1670,IgM+ cells
1975,412,SP cells
3163,2986,VCAM+ DP cells
1776,2844,DP cells
3516,1988,SATB1+ CD3+ DP cells
2509,3063,WGA+ cells
3895,706,CD40+ APCs
2531,3409,Vascular smooth muscle cells
549,2516,DP cells
336,1928,DP cells
542,671,TCRgd cells
1910,2002,IgM+ cells
314,1225,DP cells
659,1095,ETPs
1023,2591,JAG1+ VCAM+ macrophages
1713,203,PD-L1+ CD3+ DP cells 
3011,3285,DP cells
2092,3142,VCAM+ DP cells
2136,3165,Myeloid cells
2969,1872,PD-L1+ CD3+ DP cells 
2185,1477,CD40+ APCs
251,1261,JAG1+ VCAM+ macrophages
4452,3383,ETPs
2321,1690,SP cells
1473,2781,JAG1+ VCAM+ macrophages
834,1974,cTECs
1077,1938,TCRgd cells (proliferating)
886,1128,CCR7+ cells
3864,1210,CD274+ APCs
697,2111,DP cells
178,667,DP cells
1113,3404,DP cells
549,1507,DP cells
3253,2073,DP cells
4194,2312,DP cells
318,1582,DP cells
210,399,SP cells
1809,2757,DP cells
656,1569,cTECs
2049,2048,Myeloid cells
3365,2095,WGA+ cells
4194,307,Class II+ DP cells
3568,2424,SP cells
3499,2646,DP cells
1654,2868,JAG1+ VCAM+ macrophages
4478,2109,COL4+ mTECs
3136,1656,Macrophages
3915,2956,DP cells
3718,2102,DP cells
3948,3126,DP cells
766,363,APCs
3754,1757,CCR7+ cells
462,394,SP cells
2606,1184,mTECs
758,1222,SP cells
4243,2567,Fibroblasts
1030,2270,DP cells
1910,2369,DP cells
502,2887,VCAM+ DP cells
2312,725,COL4+ mTECs
2608,351,DP cells
3342,2671,DP cells
967,1450,Pericytes
868,2254,DP cells
461,3040,DP cells
3112,2393,Class II+ DP cells
1538,1498,CD40+ APCs
344,1071,JAG1+ VCAM+ macrophages
4200,1380,Class II+ DP cells
714,1001,JAG1+ VCAM+ macrophages
4521,1312,WGA+ cells
2826,70,CCR7+ cells
2367,1630,TCRgd cells (proliferating)
81,2103,DP cells
2448,2400,DP cells
566,2122,DP cells
3443,2787,DP cells
4057,2139,SATB1+ CD3+ DP cells
4418,1863,DP cells
4042,1739,Class II+ DP cells
3429,1568,JAG1+ macrophages
4031,2475,DP cells
3059,2337,DP cells
141,1753,DP cells
3877,3073,CCR7+ cells
4181,3022,DP cells
3172,3093,WGA+ cells
2916,627,DP cells
1382,3274,DP cells
3859,1840,TCRgd cells
3588,2929,DP cells
1104,2437,TCRgd cells (proliferating)
2945,713,SP cells
1870,1852,CD40+ APCs
338,15,DP cells
1575,3385,DP cells
4389,846,APCs
4463,1534,Endothelial cells
2981,174,TCRgd cells
4403,1993,ETPs
4019,2600,DP cells
89,2898,DP cells
3294,3307,DP cells
442,3165,JAG1+ VCAM+ macrophages
2203,357,SP cells
2861,1451,Macrophages
2164,1779,DP cells
2172,416,Class II+ DP cells
4327,279,DP cells
2194,1728,Endothelial cells
1529,3388,TCRgd cells
4067,2428,DP cells
2911,3216,DP cells
3213,2663,VCAM+ DP cells
1333,3128,DP cells
2261,2480,DP cells
2699,2836,DP cells
2747,173,SATB1+ CD3+ DP cells
1469,3081,DP cells
2499,1756,VCAM+ DP cells
3204,3248,DP cells
1246,2394,cTECs
4468,497,Endothelial cells
4466,1011,TCRgd cells (proliferating)
2427,1956,WGA+ cells
3895,3315,DP cells
4389,2419,Endothelial cells
1916,2531,WGA+ cells
2182,1949,DP cells
4286,931,DP cells
334,645,PD-L1+ CD3+ DP cells 
