x,y,Cell Type
720.3656083083565,1596.503869613853,Immature Goblet
717.238801396005,1598.0952164785997,TA2
715.7686438717728,1600.1144827894225,Enterocyte Progenitors
708.973798263429,1613.740833097041,CyclingTA
698.1282095951271,1602.980129186832,Immature Goblet
701.7820729234767,1609.395658565824,Immature Goblet
692.4008429242353,1606.1779875840243,TA1
700.1156767889751,1616.834812418191,Immature Goblet
695.131461538638,1619.014485334888,Enterocyte Progenitors
684.4206244993629,1608.22286987149,TA1
690.115710649856,1613.6218299727575,Immature Goblet
686.9033312545797,1618.8709936266046,TA1
679.0692784441758,1613.4766901611188,Enterocyte Progenitors
683.3496847560191,1615.5233543183092,Immature Goblet
690.0865410869495,1624.3987949109437,TA1
669.9159987340873,1604.6517240919325,Goblet
685.7255383534301,1622.5555662430006,Immature Goblet
672.0127947997412,1611.0447922176547,Immature Goblet
664.0675990943214,1606.529378489514,Immature Enterocytes
679.0827591203225,1625.0853499282678,TA2
673.4673633001727,1619.0315601429295,Immature Enterocytes
681.4372572742442,1630.3595704995555,Myofibroblasts/Smooth Muscle 3
675.0441731675451,1633.5176081241889,Macrophages
675.7817610114791,1638.503948838478,Cancer Associated Fibroblasts
654.6962964978879,1613.2637451613243,Immature Enterocytes
659.0513291442259,1633.946559697898,Cancer Associated Fibroblasts
653.3121226664346,1627.549585929034,CD8+
667.2164114978065,1644.4893360183407,Macrophages
658.3207541302178,1639.9109839877633,Plasma
647.1214865269559,1633.7548586002736,Cancer Associated Fibroblasts
650.0856094213751,1639.2591935123382,Endothelial
651.7815528718595,1651.0175344421068,Endothelial
643.6164014124566,1657.8993183271068,CD4+
631.8076119743637,1664.6275721097263,Enterocyte Progenitors
630.1952582147653,1672.8869880040506,Best4+ Enterocytes
623.410595478121,1661.596916120354,Immature Enterocytes
615.5378042465413,1653.765376570941,TA2
614.8743093913229,1659.4764062378538,Immature Goblet
607.7103658924207,1654.89248011629,TA1
624.9621658141468,1669.0435627021916,Best4+ Enterocytes
617.396989668126,1664.587477430184,TA1
618.1424617449641,1670.6177254882416,TA1
