Original Cell Type,Level Three Cell Type,Level Three CL Label,Level Three CL ID,CL_Match/3,Level Two Cell Type,Level Two CL Label,Level Two CL ID,CL_Match/2,Level One Cell Type,Level One CL Label,Level One CL ID,CL_Match/1,Tissue Type
Acinar Cells,acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,skos:exactMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Acini,acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,skos:exactMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Adipocytes,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
Adipocytes,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Adipocyte,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,bonemarrow-codex-chop
B-Cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
B,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,tonsil-codex-stanford
B cell,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
B cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
B Cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
B cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
B,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
"B cells, red pulp",b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
B_cell_1,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
B_activated,b cell:activated,B cell:activated,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Fol B cells,b cell:follicular,follicular B cell,CL:0000843,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
B_GC_DZ,b cell:germinal center,germinal center B cell,CL:0000844,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_GC_LZ,b cell:germinal center,germinal center B cell,CL:0000844,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_GC_prePB,b cell:germinal center pre-plasmablast,germinal center B cell:pre-plasmablast,CL:0000844,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Immature_B_Cell,b cell:immature,immature B cell,CL:0000816,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
B_IFN,b cell:interferon,B cell:interferon-stimulated,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_mem,b cell:memory,memory B cell,CL:0000787,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Memory B,b cell:memory,memory B cell,CL:0000787,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
B_naive,b cell:naive,naive B cell,CL:0000788,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Naive B,b cell:naive,naive B cell,CL:0000788,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
B_preGC,b cell:pre-germinal center,B cell:pre-germinal center,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_Cycling,b cell:proliferating,cycling B cell,CL:4033068,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Beta cell,beta cell:pancreatic,type B pancreatic cell,CL:0000169,skos:exactMatch,beta cell,type B pancreatic cell,CL:0000169,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,pancreas-geomx-ufl
CD34+ CD61+,cell:cd34+ cd61+,leukocyte:cd34-positive cd61-positive,CL:0000738,skos:narrowMatch,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Ki67 proliferating,cell:proliferating,cell:proliferating,CL:0000000,skos:narrowMatch,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch,spleen-codex-ufl
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
Dendritic cells,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
Dendritic Cells,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
CD11B+ CD11C- cells,dendritic cell:cd11b+,CD11b-positive dendritic cell,CL:0002465,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
DC_cDC1,dendritic cell:conventional 1,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
DC_cDC2,dendritic cell:conventional 2,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
FDC,dendritic cell:follicular,follicular dendritic cell,CL:0000442,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lymphnode-codex-yale
DC_CCR7+,dendritic cell:migratory,migratory dendtritic cell,CL:4047054,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
